105,0,"Apps & Bots","",0
104,0,"emoticon_button","",0
103,0,"button_sprites","",0
102,0,"css","images",0
101,0,"emoticon","uploads/avatar",1
4,1,"Adult","",0
3,1,"Cute","",0
1,1,"Funny","",0
6,1,"Girly","",0
10,1,"Love","",0
8,1,"Misc","",0
11,1,"Model Specific","",0
9,1,"Music","",0
2,1,"Standard","",0
7,1,"Text","",0
5,1,"Wacky","",0
